confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP
0.01	33.07522201538086	0.0	0.01	33.07522201538086	0.0	0.01	33.038673400878906	0.0	0.01	32.92951583862305	0.0	0.01	32.9658203125	0.0	0.01	32.85714340209961	0.0	0.01	32.64192199707031	0.0	0.01	32.39436721801758	0.0	0.01	31.876331329345703	0.0
0.011	33.5177001953125	0.0	0.011	33.5177001953125	0.0	0.011	33.48066329956055	0.0	0.011	33.37004470825195	0.0	0.011	33.406837463378906	0.0	0.011	33.29670333862305	0.0	0.011	33.0786018371582	0.0	0.011	32.827735900878906	0.0	0.011	32.302772521972656	0.0
0.012	34.070796966552734	0.0	0.012	34.070796966552734	0.0	0.012	34.03314971923828	0.0	0.012	33.92070388793945	0.0	0.012	33.95810317993164	0.0	0.012	33.846153259277344	0.0	0.012	33.624454498291016	0.0	0.012	33.36944961547852	0.0	0.012	32.835819244384766	0.0
0.013	34.84513092041016	0.0	0.013	34.84513092041016	0.0	0.013	34.8066291809082	0.0	0.013	34.691627502441406	0.0	0.013	34.729881286621094	0.0	0.013	34.615386962890625	0.0	0.013	34.38864517211914	0.0	0.013	34.12784194946289	0.0	0.013	33.582088470458984	0.0
0.014	35.06637191772461	0.0	0.014	35.06637191772461	0.0	0.014	35.02762222290039	0.0	0.014	34.911895751953125	0.0	0.014	34.95038604736328	0.0	0.014	34.835166931152344	0.0	0.014	34.60698699951172	0.0	0.014	34.34452819824219	0.0	0.014	33.795310974121094	0.0
0.015	35.619468688964844	0.0	0.015	35.619468688964844	0.0	0.015	35.580108642578125	0.0	0.015	35.462554931640625	0.0	0.015	35.501651763916016	0.0	0.015	35.38461685180664	0.0	0.015	35.152835845947266	0.0	0.015	34.8862419128418	0.0	0.015	34.3283576965332	0.0
0.016	36.39380645751953	0.0	0.016	36.39380645751953	0.0	0.016	36.35359191894531	0.0	0.016	36.23347854614258	0.0	0.016	36.27342987060547	0.0	0.016	36.153846740722656	0.0	0.016	35.917030334472656	0.0	0.016	35.64463806152344	0.0	0.016	35.07462692260742	0.0
0.017	36.61504364013672	0.0	0.017	36.61504364013672	0.0	0.017	36.5745849609375	0.0	0.017	36.45374298095703	0.0	0.017	36.493934631347656	0.0	0.017	36.373626708984375	0.0	0.017	36.135372161865234	0.0	0.017	35.86132049560547	0.0	0.017	35.287845611572266	0.0
0.018	36.83628463745117	0.0	0.018	36.83628463745117	0.0	0.018	36.79558181762695	0.0	0.018	36.67400741577149	0.0	0.018	36.71444320678711	0.0	0.018	36.593406677246094	0.0	0.018	36.35371398925781	0.0	0.018	36.078006744384766	0.0	0.018	35.50106430053711	0.0
0.019	37.16814041137695	0.0	0.019	37.16814041137695	0.0	0.019	37.127071380615234	0.0	0.019	37.0044059753418	0.0	0.019	37.045204162597656	0.0	0.019	36.92307662963867	0.0	0.019	36.68122100830078	0.0	0.019	36.40303421020508	0.0	0.019	35.82089614868164	0.0
0.02	37.27876281738281	0.0	0.02	37.27876281738281	0.0	0.02	37.23756790161133	0.0	0.02	37.11453628540039	0.0	0.02	37.15545654296875	0.0	0.02	37.03296661376953	0.0	0.02	36.79039001464844	0.0	0.02	36.511375427246094	0.0	0.02	35.92750549316406	0.0
0.021	37.610618591308594	0.0428449027240276	0.021	37.610618591308594	0.0426985472440719	0.021	37.56906127929688	0.042662113904953	0.021	37.4449348449707	0.0425894372165203	0.021	37.48622131347656	0.0425713062286376	0.021	37.36263656616211	0.0425350926816463	0.021	37.11790466308594	0.0424989387392997	0.021	36.836402893066406	0.042444821447134	0.021	36.24733352661133	0.0420521460473537
