confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP
0.027	41.17647171020508	0.0856898054480552	0.027	41.08170318603516	0.0853606462478637	0.027	40.98736953735352	0.0852878466248512	0.027	40.70695495605469	0.0851426124572753	0.027	40.11235809326172	0.0850340127944946	0.027	38.51132583618164	0.0849617645144462	0.027	37.57894515991211	0.0848536267876625	0.027	37.26513671875	0.0846023708581924	0.027	36.5778694152832	0.0837520956993103
0.028	41.98385238647461	0.0856898054480552	0.028	41.88722610473633	0.0853606462478637	0.028	41.791046142578125	0.0852878466248512	0.028	41.505130767822266	0.0851426124572753	0.028	40.89887619018555	0.0850340127944946	0.028	39.26645278930664	0.0849617645144462	0.028	38.31579208374024	0.0848536267876625	0.028	37.99582290649414	0.0846023708581924	0.028	37.29508209228516	0.0837520956993103
0.029	42.09919357299805	0.0856898054480552	0.029	42.00230407714844	0.0853606462478637	0.029	41.90585708618164	0.0852878466248512	0.029	41.61915588378906	0.0851426124572753	0.029	41.01123428344727	0.0850340127944946	0.029	39.374324798583984	0.0849617645144462	0.029	38.42105102539063	0.0848536267876625	0.029	38.1002082824707	0.0846023708581924	0.029	37.39754104614258	0.0837520956993103
0.03	42.21453475952149	0.0856898054480552	0.03	42.117374420166016	0.0853606462478637	0.03	42.02066802978516	0.0852878466248512	0.03	41.73318099975586	0.0851426124572753	0.03	41.12359619140625	0.0850340127944946	0.03	39.482200622558594	0.0849617645144462	0.03	38.52631378173828	0.0848536267876625	0.03	38.20459365844727	0.0846023708581924	0.03	37.5	0.0837520956993103
0.031	42.44521331787109	0.0856898054480552	0.031	42.34752655029297	0.0853606462478637	0.031	42.25028610229492	0.0852878466248512	0.031	41.96123123168945	0.0851426124572753	0.031	41.34831237792969	0.0850340127944946	0.031	39.69795227050781	0.0849617645144462	0.031	38.7368392944336	0.0848536267876625	0.031	38.413360595703125	0.0846023708581924	0.031	37.70491790771485	0.0837520956993103
0.032	42.56055450439453	0.0856898054480552	0.032	42.46260070800781	0.0853606462478637	0.032	42.36509704589844	0.0852878466248512	0.032	42.07525634765625	0.0851426124572753	0.032	41.46067428588867	0.0850340127944946	0.032	39.80582809448242	0.0849617645144462	0.032	38.84210586547852	0.0848536267876625	0.032	38.51774597167969	0.0846023708581924	0.032	37.807376861572266	0.0837520956993103
0.033	42.791236877441406	0.0856898054480552	0.033	42.6927490234375	0.0853606462478637	0.033	42.59471893310547	0.0852878466248512	0.033	42.30330657958984	0.0851426124572753	0.033	41.685394287109375	0.0850340127944946	0.033	40.021575927734375	0.0849617645144462	0.033	39.05263137817383	0.0848536267876625	0.033	38.72651290893555	0.0846023708581924	0.033	38.01229476928711	0.0837520956993103
0.034	43.13725662231445	0.0856898054480552	0.034	43.0379753112793	0.0853606462478637	0.034	42.939151763916016	0.0852878466248512	0.034	42.64538192749024	0.0851426124572753	0.034	42.0224723815918	0.0850340127944946	0.034	40.34519958496094	0.0849617645144462	0.034	39.3684196472168	0.0848536267876625	0.034	39.03966522216797	0.0846023708581924	0.034	38.319671630859375	0.0837520956993103
0.035	43.4832763671875	0.0856898054480552	0.035	43.38319778442383	0.0853606462478637	0.035	43.2835807800293	0.0852878466248512	0.035	42.98745727539063	0.0851426124572753	0.035	42.35955047607422	0.0850340127944946	0.035	40.6688232421875	0.0849617645144462	0.035	39.684207916259766	0.0848536267876625	0.035	39.35281753540039	0.0846023708581924	0.035	38.62704849243164	0.0837520956993103
0.036	43.59861755371094	0.0856898054480552	0.036	43.49827575683594	0.0853606462478637	0.036	43.39839172363281	0.0852878466248512	0.036	43.10148239135742	0.0851426124572753	0.036	42.47190856933594	0.0850340127944946	0.036	40.77669906616211	0.0849617645144462	0.036	39.78947448730469	0.0848536267876625	0.036	39.45720291137695	0.0846023708581924	0.036	38.72950744628906	0.0837520956993103
0.037	44.05997848510742	0.0856898054480552	0.037	43.95857620239258	0.0853606462478637	0.037	43.85763549804688	0.0852878466248512	0.037	43.55758285522461	0.0851426124572753	0.037	42.921348571777344	0.0850340127944946	0.037	41.20819854736328	0.0849617645144462	0.037	40.21052551269531	0.0848536267876625	0.037	39.87473678588867	0.0846023708581924	0.037	39.139347076416016	0.0837520956993103
0.038	44.29065704345703	0.0856898054480552	0.038	44.188724517822266	0.0853606462478637	0.038	44.08725357055664	0.0852878466248512	0.038	43.7856330871582	0.0851426124572753	0.038	43.14606857299805	0.0850340127944946	0.038	41.4239501953125	0.0849617645144462	0.038	40.42105484008789	0.0848536267876625	0.038	40.0835075378418	0.0846023708581924	0.038	39.3442611694336	0.0837520956993103
0.039	44.636680603027344	0.0856898054480552	0.039	44.5339469909668	0.0853606462478637	0.039	44.43168640136719	0.0852878466248512	0.039	44.127708435058594	0.0851426124572753	0.039	43.48314666748047	0.0850340127944946	0.039	41.74757385253906	0.0849617645144462	0.039	40.73684310913086	0.0848536267876625	0.039	40.39665985107422	0.0846023708581924	0.039	39.65163803100586	0.0837520956993103
0.04	44.75201797485352	0.0856898054480552	0.04	44.64902114868164	0.0853606462478637	0.04	44.5464973449707	0.0852878466248512	0.04	44.24173355102539	0.0851426124572753	0.04	43.59550476074219	0.0850340127944946	0.04	41.85544967651367	0.0849617645144462	0.04	40.84210205078125	0.0848536267876625	0.04	40.50104141235352	0.0846023708581924	0.04	39.75409698486328	0.0837520956993103
0.041	44.75201797485352	0.0856898054480552	0.041	44.64902114868164	0.0853606462478637	0.041	44.5464973449707	0.0852878466248512	0.041	44.24173355102539	0.0851426124572753	0.041	43.59550476074219	0.0850340127944946	0.041	41.85544967651367	0.0849617645144462	0.041	40.84210205078125	0.0848536267876625	0.041	40.50104141235352	0.0846023708581924	0.041	39.75409698486328	0.0837520956993103
0.042	44.86735916137695	0.0856898054480552	0.042	44.76409530639648	0.0853606462478637	0.042	44.66131210327149	0.0852878466248512	0.042	44.35575866699219	0.0851426124572753	0.042	43.70786666870117	0.0850340127944946	0.042	41.96332550048828	0.0849617645144462	0.042	40.94736862182617	0.0848536267876625	0.042	40.605430603027344	0.0846023708581924	0.042	39.8565559387207	0.0837520956993103
0.043	44.86735916137695	0.0856898054480552	0.043	44.76409530639648	0.0853606462478637	0.043	44.66131210327149	0.0852878466248512	0.043	44.35575866699219	0.0851426124572753	0.043	43.70786666870117	0.0850340127944946	0.043	41.96332550048828	0.0849617645144462	0.043	40.94736862182617	0.0848536267876625	0.043	40.605430603027344	0.0846023708581924	0.043	39.8565559387207	0.0837520956993103
0.044	44.86735916137695	0.0856898054480552	0.044	44.76409530639648	0.0853606462478637	0.044	44.66131210327149	0.0852878466248512	0.044	44.35575866699219	0.0851426124572753	0.044	43.70786666870117	0.0850340127944946	0.044	41.96332550048828	0.0849617645144462	0.044	40.94736862182617	0.0848536267876625	0.044	40.605430603027344	0.0846023708581924	0.044	39.8565559387207	0.0837520956993103
0.045	44.86735916137695	0.0856898054480552	0.045	44.76409530639648	0.0853606462478637	0.045	44.66131210327149	0.0852878466248512	0.045	44.35575866699219	0.0851426124572753	0.045	43.70786666870117	0.0850340127944946	0.045	41.96332550048828	0.0849617645144462	0.045	40.94736862182617	0.0848536267876625	0.045	40.605430603027344	0.0846023708581924	0.045	39.8565559387207	0.0837520956993103
0.046	45.09803771972656	0.0856898054480552	0.046	44.99424743652344	0.0853606462478637	0.046	44.89093017578125	0.0852878466248512	0.046	44.58380889892578	0.0851426124572753	0.046	43.93258285522461	0.0850340127944946	0.046	42.17907333374024	0.0849617645144462	0.046	41.15789413452149	0.0848536267876625	0.046	40.8141975402832	0.0846023708581924	0.046	40.06147766113281	0.0837520956993103
0.047	45.21337890625	0.0856898054480552	0.047	45.10932159423828	0.0853606462478637	0.047	45.005741119384766	0.0852878466248512	0.047	44.69783401489258	0.0851426124572753	0.047	44.0449447631836	0.0850340127944946	0.047	42.28694915771485	0.0849617645144462	0.047	41.26315689086914	0.0848536267876625	0.047	40.9185791015625	0.0846023708581924	0.047	40.16393280029297	0.0837520956993103
0.048	45.55939865112305	0.0856898054480552	0.048	45.45454788208008	0.0853606462478637	0.048	45.35017395019531	0.0852878466248512	0.048	45.03990936279297	0.0851426124572753	0.048	44.382022857666016	0.0850340127944946	0.048	42.61056900024414	0.0849617645144462	0.048	41.578948974609375	0.0848536267876625	0.048	41.23173522949219	0.0846023708581924	0.048	40.4713134765625	0.0837520956993103
0.049	45.55939865112305	0.0856898054480552	0.049	45.45454788208008	0.0853606462478637	0.049	45.35017395019531	0.0852878466248512	0.049	45.03990936279297	0.0851426124572753	0.049	44.382022857666016	0.0850340127944946	0.049	42.61056900024414	0.0849617645144462	0.049	41.578948974609375	0.0848536267876625	0.049	41.23173522949219	0.0846023708581924	0.049	40.4713134765625	0.0837520956993103
0.05	46.02075958251953	0.0856898054480552	0.05	45.91484451293945	0.0853606462478637	0.05	45.80941390991211	0.0852878466248512	0.05	45.49600601196289	0.0851426124572753	0.05	44.83145904541016	0.0850340127944946	0.05	43.04207229614258	0.0849617645144462	0.05	42.0	0.0848536267876625	0.05	41.64926910400391	0.0846023708581924	0.05	40.88114929199219	0.0837520956993103
0.051	46.13610076904297	0.0856898054480552	0.051	46.0299186706543	0.0853606462478637	0.051	45.924224853515625	0.0852878466248512	0.051	45.61003494262695	0.0851426124572753	0.051	44.94382095336914	0.0850340127944946	0.051	43.14994430541992	0.0849617645144462	0.051	42.105262756347656	0.0848536267876625	0.051	41.75365447998047	0.0846023708581924	0.051	40.98360443115234	0.0837520956993103
0.052	46.36677932739258	0.1285347044467926	0.052	46.260066986083984	0.1280409693717956	0.052	46.153846740722656	0.1279317587614059	0.052	45.83808517456055	0.127713918685913	0.052	45.16854095458984	0.1275510191917419	0.052	43.36569595336914	0.1274426430463791	0.052	42.31578826904297	0.127280443906784	0.052	41.96242141723633	0.126903548836708	0.052	41.18852233886719	0.1256281435489654
0.053	46.482120513916016	0.1285347044467926	0.053	46.375144958496094	0.1280409693717956	0.053	46.26865768432617	0.1279317587614059	0.053	45.952110290527344	0.127713918685913	0.053	45.28089904785156	0.1275510191917419	0.053	43.47357177734375	0.1274426430463791	0.053	42.42105102539063	0.127280443906784	0.053	42.06680679321289	0.126903548836708	0.053	41.29098510742188	0.1256281435489654
0.054	46.482120513916016	0.1713796108961105	0.054	46.375144958496094	0.1707212924957275	0.054	46.26865768432617	0.1705756932497024	0.054	45.952110290527344	0.1702852249145507	0.054	45.39325714111328	0.1700680255889892	0.054	43.58144760131836	0.1699235290288925	0.054	42.52631759643555	0.169707253575325	0.054	42.17118835449219	0.1692047417163849	0.054	41.3934440612793	0.1675041913986206
0.055	46.71280288696289	0.2142245173454284	0.055	46.60529327392578	0.2134016305208206	0.055	46.4982795715332	0.2132196277379989	0.055	46.18016052246094	0.2128565460443496	0.055	45.617977142333984	0.2125850468873977	0.055	43.79719543457031	0.2124044150114059	0.055	42.73684310913086	0.2121340781450271	0.055	42.37995910644531	0.2115059196949005	0.055	41.70082092285156	0.2093802392482757
0.056	47.05882263183594	0.2142245173454284	0.056	46.95051956176758	0.2134016305208206	0.056	46.84270858764648	0.2132196277379989	0.056	46.52223587036133	0.2128565460443496	0.056	45.955055236816406	0.2125850468873977	0.056	44.12081909179688	0.2124044150114059	0.056	43.05263137817383	0.2121340781450271	0.056	42.69311141967773	0.2115059196949005	0.056	42.00819778442383	0.2093802392482757
0.057	47.05882263183594	0.2142245173454284	0.057	46.95051956176758	0.2134016305208206	0.057	46.84270858764648	0.2132196277379989	0.057	46.52223587036133	0.2128565460443496	0.057	45.955055236816406	0.2125850468873977	0.057	44.12081909179688	0.2124044150114059	0.057	43.05263137817383	0.2121340781450271	0.057	42.69311141967773	0.2115059196949005	0.057	42.00819778442383	0.2093802392482757
