confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP
0.02	37.19646835327149	0.0	0.02	37.11453628540039	0.0	0.02	37.073707580566406	0.0	0.02	36.83060073852539	0.0	0.02	36.31465530395508	0.0	0.02	34.92227935791016	0.0	0.02	34.10931396484375	0.0	0.02	33.83534240722656	0.0	0.02	33.23471450805664	0.0
0.021	37.52759552001953	0.0428449027240276	0.021	37.4449348449707	0.0426803231239318	0.021	37.40373992919922	0.0426439233124256	0.021	37.158470153808594	0.0425713062286376	0.021	36.63793182373047	0.0425170063972473	0.021	35.23316192626953	0.0424808822572231	0.021	34.41295623779297	0.0424268133938312	0.021	34.13654708862305	0.0423011854290962	0.021	33.53057098388672	0.0418760478496551
0.022	37.96909332275391	0.0428449027240276	0.022	37.88546371459961	0.0426803231239318	0.022	37.84378433227539	0.0426439233124256	0.022	37.59563064575195	0.0425713062286376	0.022	37.068965911865234	0.0425170063972473	0.022	35.64767074584961	0.0424808822572231	0.022	34.817813873291016	0.0424268133938312	0.022	34.53815460205078	0.0423011854290962	0.022	33.925048828125	0.0418760478496551
0.023	38.30022048950195	0.0428449027240276	0.023	38.215858459472656	0.0426803231239318	0.023	38.17382049560547	0.0426439233124256	0.023	37.92349624633789	0.0425713062286376	0.023	37.39224243164063	0.0425170063972473	0.023	35.95854949951172	0.0424808822572231	0.023	35.1214599609375	0.0424268133938312	0.023	34.83935546875	0.0423011854290962	0.023	34.22090530395508	0.0418760478496551
0.024	38.7417221069336	0.0428449027240276	0.024	38.65638732910156	0.0426803231239318	0.024	38.613861083984375	0.0426439233124256	0.024	38.36065673828125	0.0425713062286376	0.024	37.82327651977539	0.0425170063972473	0.024	36.3730583190918	0.0424808822572231	0.024	35.52631378173828	0.0424268133938312	0.024	35.240962982177734	0.0423011854290962	0.024	34.615386962890625	0.0418760478496551
0.025	38.96247100830078	0.0428449027240276	0.025	38.876651763916016	0.0426803231239318	0.025	38.83388519287109	0.0426439233124256	0.025	38.5792350769043	0.0425713062286376	0.025	38.03879165649414	0.0425170063972473	0.025	36.5803108215332	0.0424808822572231	0.025	35.72874450683594	0.0424268133938312	0.025	35.441768646240234	0.0423011854290962	0.025	34.8126220703125	0.0418760478496551
0.026	39.29359817504883	0.0428449027240276	0.026	39.20704650878906	0.0426803231239318	0.026	39.16391754150391	0.0426439233124256	0.026	38.9071044921875	0.0425713062286376	0.026	38.36206817626953	0.0425170063972473	0.026	36.89119338989258	0.0424808822572231	0.026	36.03238677978516	0.0424268133938312	0.026	35.74296951293945	0.0423011854290962	0.026	35.10847854614258	0.0418760478496551
0.027	39.40397262573242	0.0856898054480552	0.027	39.31718063354492	0.0853606462478637	0.027	39.27392578125	0.0852878466248512	0.027	39.01639175415039	0.0851426124572753	0.027	38.469825744628906	0.0850340127944946	0.027	36.99481964111328	0.0849617645144462	0.027	36.133602142333984	0.0848536267876625	0.027	35.8433723449707	0.0846023708581924	0.027	35.20709991455078	0.0837520956993103
0.028	40.17660140991211	0.0856898054480552	0.028	40.08810424804688	0.0853606462478637	0.028	40.04400253295898	0.0852878466248512	0.028	39.78142166137695	0.0851426124572753	0.028	39.22414016723633	0.0850340127944946	0.028	37.72020721435547	0.0849617645144462	0.028	36.84210586547852	0.0848536267876625	0.028	36.54618453979492	0.0846023708581924	0.028	35.897438049316406	0.0837520956993103
0.029	40.2869758605957	0.0856898054480552	0.029	40.198238372802734	0.0853606462478637	0.029	40.15401458740234	0.0852878466248512	0.029	39.89070892333984	0.0851426124572753	0.029	39.33189392089844	0.0850340127944946	0.029	37.82383346557617	0.0849617645144462	0.029	36.943321228027344	0.0848536267876625	0.029	36.64658737182617	0.0846023708581924	0.029	35.996055603027344	0.0837520956993103
