confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP
0.011	35.028900146484375	0.0	0.011	35.028900146484375	0.0	0.011	34.948097229003906	0.0	0.011	34.82758712768555	0.0	0.011	34.8676643371582	0.0	0.011	34.74770736694336	0.0	0.011	34.510250091552734	0.0	0.011	34.23728942871094	0.0	0.011	33.66666793823242	0.0
0.012	35.606937408447266	0.0	0.012	35.606937408447266	0.0	0.012	35.52479553222656	0.0	0.012	35.40229797363281	0.0	0.012	35.44303894042969	0.0	0.012	35.321102142333984	0.0	0.012	35.07972717285156	0.0	0.012	34.80226135253906	0.0	0.012	34.22222137451172	0.0
0.013	36.41618347167969	0.0	0.013	36.41618347167969	0.0	0.013	36.33218002319336	0.0	0.013	36.20689392089844	0.0	0.013	36.24856185913086	0.0	0.013	36.12385559082031	0.0	0.013	35.876991271972656	0.0	0.013	35.59321975708008	0.0	0.013	35.0	0.0
0.014	36.64739990234375	0.0	0.014	36.64739990234375	0.0	0.014	36.56285858154297	0.0	0.014	36.43678283691406	0.0	0.014	36.47871017456055	0.0	0.014	36.35321044921875	0.0	0.014	36.10478210449219	0.0	0.014	35.819210052490234	0.0	0.014	35.222225189208984	0.0
0.015	37.225433349609375	0.0	0.015	37.225433349609375	0.0	0.015	37.13956069946289	0.0	0.015	37.01149368286133	0.0	0.015	37.05408477783203	0.0	0.015	36.926605224609375	0.0	0.015	36.67426300048828	0.0	0.015	36.38418197631836	0.0	0.015	35.77777862548828	0.0
0.016	38.03468322753906	0.0	0.016	38.03468322753906	0.0	0.016	37.94694137573242	0.0	0.016	37.81609344482422	0.0	0.016	37.85961151123047	0.0	0.016	37.7293586730957	0.0	0.016	37.471527099609375	0.0	0.016	37.175140380859375	0.0	0.016	36.55555725097656	0.0
0.017	38.26589584350586	0.0	0.017	38.26589584350586	0.0	0.017	38.1776237487793	0.0	0.017	38.04597473144531	0.0	0.017	38.08975982666016	0.0	0.017	37.95871353149414	0.0	0.017	37.699317932128906	0.0	0.017	37.40113067626953	0.0	0.017	36.777774810791016	0.0
0.018	38.49711227416992	0.0	0.018	38.49711227416992	0.0	0.018	38.408302307128906	0.0	0.018	38.27586364746094	0.0	0.018	38.31990814208984	0.0	0.018	38.18807220458984	0.0	0.018	37.92710494995117	0.0	0.018	37.62711715698242	0.0	0.018	37.0	0.0
0.019	38.84392929077149	0.0	0.019	38.84392929077149	0.0	0.019	38.75432586669922	0.0	0.019	38.62068939208984	0.0	0.019	38.66513442993164	0.0	0.019	38.53211212158203	0.0	0.019	38.26879119873047	0.0	0.019	37.966102600097656	0.0	0.019	37.33333206176758	0.0
0.02	38.95953750610352	0.0	0.02	38.95953750610352	0.0	0.02	38.86966323852539	0.0	0.02	38.73563003540039	0.0	0.02	38.78020477294922	0.0	0.02	38.64678955078125	0.0	0.02	38.38268661499024	0.0	0.02	38.07909393310547	0.0	0.02	37.4444465637207	0.0
0.021	39.30635833740234	0.0428449027240276	0.021	39.30635833740234	0.0426985472440719	0.021	39.2156867980957	0.042662113904953	0.021	39.08045959472656	0.0425894372165203	0.021	39.125431060791016	0.0425713062286376	0.021	38.99082565307617	0.0425350926816463	0.021	38.72437286376953	0.0424989387392997	0.021	38.4180793762207	0.042444821447134	0.021	37.77777862548828	0.0420521460473537
0.022	39.76878356933594	0.0428449027240276	0.022	39.76878356933594	0.0426985472440719	0.022	39.67704772949219	0.042662113904953	0.022	39.54022979736328	0.0425894372165203	0.022	39.585731506347656	0.0425713062286376	0.022	39.44954299926758	0.0425350926816463	0.022	39.179954528808594	0.0424989387392997	0.022	38.87005615234375	0.042444821447134	0.022	38.22222518920898	0.0420521460473537
0.023	40.11560821533203	0.0428449027240276	0.023	40.11560821533203	0.0426985472440719	0.023	40.023067474365234	0.042662113904953	0.023	39.88505554199219	0.0425894372165203	0.023	39.93095397949219	0.0425713062286376	0.023	39.7935791015625	0.0425350926816463	0.023	39.52164077758789	0.0424989387392997	0.023	39.20904159545898	0.042444821447134	0.023	38.55555725097656	0.0420521460473537
0.024	40.578033447265625	0.0428449027240276	0.024	40.578033447265625	0.0426985472440719	0.024	40.48442840576172	0.042662113904953	0.024	40.34482955932617	0.0425894372165203	0.024	40.39125442504883	0.0425713062286376	0.024	40.25229263305664	0.0425350926816463	0.024	39.97721862792969	0.0424989387392997	0.024	39.66101837158203	0.042444821447134	0.024	39.0	0.0420521460473537
0.025	40.80924987792969	0.0428449027240276	0.025	40.80924987792969	0.0426985472440719	0.025	40.715110778808594	0.042662113904953	0.025	40.57471084594727	0.0425894372165203	0.025	40.62140274047852	0.0425713062286376	0.025	40.48165130615234	0.0425350926816463	0.025	40.20500946044922	0.0424989387392997	0.025	39.88700485229492	0.042444821447134	0.025	39.22222137451172	0.0420521460473537
0.026	41.15606689453125	0.0428449027240276	0.026	41.15606689453125	0.0426985472440719	0.026	41.06113052368164	0.042662113904953	0.026	40.91954040527344	0.0425894372165203	0.026	40.96662521362305	0.0425713062286376	0.026	40.82568740844727	0.0425350926816463	0.026	40.54669570922852	0.0424989387392997	0.026	40.22599029541016	0.042444821447134	0.026	39.55555725097656	0.0420521460473537
0.027	41.27167892456055	0.0856898054480552	0.027	41.27167892456055	0.0853970944881439	0.027	41.17647171020508	0.085324227809906	0.027	41.03448486328125	0.0851788744330406	0.027	41.08170318603516	0.0851426124572753	0.027	40.94036865234375	0.0850701853632927	0.027	40.66059112548828	0.0849978774785995	0.027	40.338985443115234	0.084889642894268	0.027	39.66666793823242	0.0841042920947074
